2023/05/31 14:23:25 Initializing main trace
2023/05/31 14:23:25 Id: 1
2023/05/31 14:23:25 N: 4
2023/05/31 14:23:25 F: 0
2023/05/31 14:23:25 D: 3
2023/05/31 14:23:25 Logging: critical
2023/05/31 14:23:25 ChainId: chain
2023/05/31 14:23:25 Ledger: 
2023/05/31 14:23:25 MaxLeaders: 4
2023/05/31 14:23:25 BatchDurationNsec: 500000000
2023/05/31 14:23:25 BatchSizeBytes: 2000000
2023/05/31 14:23:25 EpochTimeoutNsec: 20000000000
2023/05/31 14:23:25 BatchSignature: false
2023/05/31 14:23:25 WatermarkDist: 32
2023/05/31 14:23:25 CheckpointDist: 16
2023/05/31 14:23:25 BucketRotationPeriod: 256
2023/05/31 14:23:25 ClientWatermarkDist: 10000000
2023/05/31 14:23:25 Buckets: 2
2023/05/31 14:23:25 PayloadSharding: false
2023/05/31 14:23:25 SigSharding: true
2023/05/31 14:23:25 ByzantineDuplication: false
2023/05/31 14:23:25 Censoring: 0
2023/05/31 14:23:25 ByzantineDelay: 0
2023/05/31 14:23:25 ByzantineAfter: 0
2023/05/31 14:23:25 ByzantineUntil: 0
2023/05/31 14:23:25 UseTLS: true
2023/05/31 14:23:25 ServerConfigurationBuffer: 2
2023/05/31 14:23:25 SignatureVerification: true
2023/05/31 14:23:25 RequestSize: 500
2023/05/31 14:23:25 RequestsPerClient: 0
2023/05/31 14:23:25 Parallelism: 0
2023/05/31 14:23:25 RequestRate: 0
2023/05/31 14:23:25 ClientRunTime: 0
2023/05/31 14:23:25 Clients: 0
2023/05/31 14:23:25 Blocking: false
2023/05/31 14:23:25 Receivers: 0
2023/05/31 14:23:25 Destination: 0
2023/05/31 14:23:25 Self:
2023/05/31 14:23:25     Listen: 0.0.0.0:8001
2023/05/31 14:23:25     CACertFile: /opt/gopath/src/github.com/IBM/mirbft/deployment/config/certs/ecdsa/ca.pem
2023/05/31 14:23:25     KeyFile: /opt/gopath/src/github.com/IBM/mirbft/deployment/config/certs/ecdsa/server-2.key
2023/05/31 14:23:25     CertFile: /opt/gopath/src/github.com/IBM/mirbft/deployment/config/certs/ecdsa/server-2.pem
2023/05/31 14:23:25 Servers:
2023/05/31 14:23:25     CACertFile: 
2023/05/31 14:23:25     CertFile: /opt/gopath/src/github.com/IBM/mirbft/deployment/config/certs/ecdsa/server-1.pem
2023/05/31 14:23:25     CertFile: /opt/gopath/src/github.com/IBM/mirbft/deployment/config/certs/ecdsa/server-2.pem
2023/05/31 14:23:25     CertFile: /opt/gopath/src/github.com/IBM/mirbft/deployment/config/certs/ecdsa/server-3.pem
2023/05/31 14:23:25     CertFile: /opt/gopath/src/github.com/IBM/mirbft/deployment/config/certs/ecdsa/server-4.pem
2023/05/31 14:23:25     CertFile: 44.204.242.59:8001
2023/05/31 14:23:25     CertFile: 44.213.105.71:8001
2023/05/31 14:23:25     CertFile: 3.235.126.81:8001
2023/05/31 14:23:25     CertFile: 18.205.1.24:8001
2023/05/31 14:23:25.645404 NewBackend Mir backend
2023/05/31 14:23:25.755705 assignBuckets replica 1: Responsible for requests in buckets [2 3] in epoch 0
2023/05/31 14:23:28.701617 RunRequestProcessor Updated leader pending size
2023/05/31 14:23:29.220169 cutAndMaybeSend replica 1: batch length 0
2023/05/31 14:23:29.341284 deliverBatch DELIVERING 1 with 1 txs
2023/05/31 14:23:29.381642 deliverBatch DELIVERING 2 with 1 txs
2023/05/31 14:23:29.381697 deliverBatch DELIVERING 3 with 1 txs
2023/05/31 14:23:29.401847 deliverBatch DELIVERING 4 with 1 txs
2023/05/31 14:23:29.724242 cutAndMaybeSend replica 1: batch length 0
2023/05/31 14:23:29.824985 deliverBatch DELIVERING 5 with 0 txs
2023/05/31 14:23:29.865293 deliverBatch DELIVERING 6 with 0 txs
2023/05/31 14:23:29.865361 deliverBatch DELIVERING 7 with 0 txs
2023/05/31 14:23:29.885545 deliverBatch DELIVERING 8 with 0 txs
2023/05/31 14:23:30.228145 cutAndMaybeSend replica 1: batch length 0
2023/05/31 14:23:30.329003 deliverBatch DELIVERING 9 with 0 txs
2023/05/31 14:23:30.369087 deliverBatch DELIVERING 10 with 0 txs
2023/05/31 14:23:30.369157 deliverBatch DELIVERING 11 with 0 txs
2023/05/31 14:23:30.389375 deliverBatch DELIVERING 12 with 0 txs
2023/05/31 14:23:30.731892 cutAndMaybeSend replica 1: batch length 0
2023/05/31 14:23:30.832476 deliverBatch DELIVERING 13 with 0 txs
2023/05/31 14:23:30.872723 deliverBatch DELIVERING 14 with 0 txs
2023/05/31 14:23:30.872766 deliverBatch DELIVERING 15 with 0 txs
2023/05/31 14:23:30.892997 deliverBatch DELIVERING 16 with 0 txs
2023/05/31 14:23:31.235613 cutAndMaybeSend replica 1: batch length 0
2023/05/31 14:23:31.336268 deliverBatch DELIVERING 17 with 0 txs
2023/05/31 14:23:31.376522 deliverBatch DELIVERING 18 with 0 txs
2023/05/31 14:23:31.376573 deliverBatch DELIVERING 19 with 0 txs
2023/05/31 14:23:31.396735 deliverBatch DELIVERING 20 with 0 txs
2023/05/31 14:23:31.739121 cutAndMaybeSend replica 1: batch length 0
2023/05/31 14:23:31.839994 deliverBatch DELIVERING 21 with 0 txs
2023/05/31 14:23:31.880355 deliverBatch DELIVERING 22 with 0 txs
2023/05/31 14:23:31.880404 deliverBatch DELIVERING 23 with 0 txs
2023/05/31 14:23:31.900468 deliverBatch DELIVERING 24 with 0 txs
2023/05/31 14:23:32.243044 cutAndMaybeSend replica 1: batch length 0
2023/05/31 14:23:32.363806 deliverBatch DELIVERING 25 with 0 txs
2023/05/31 14:23:32.383977 deliverBatch DELIVERING 26 with 0 txs
2023/05/31 14:23:32.384053 deliverBatch DELIVERING 27 with 0 txs
2023/05/31 14:23:32.404181 deliverBatch DELIVERING 28 with 0 txs
2023/05/31 14:23:32.746724 cutAndMaybeSend replica 1: batch length 0
2023/05/31 14:23:32.847421 deliverBatch DELIVERING 29 with 0 txs
2023/05/31 14:23:32.887723 deliverBatch DELIVERING 30 with 0 txs
2023/05/31 14:23:32.887776 deliverBatch DELIVERING 31 with 0 txs
2023/05/31 14:23:32.907937 deliverBatch DELIVERING 32 with 0 txs
2023/05/31 14:23:33.250321 cutAndMaybeSend replica 1: batch length 0
2023/05/31 14:23:33.351003 deliverBatch DELIVERING 33 with 0 txs
